Occupations;Code;Pekerjaan
Job Analyst;IAE;Analis Pekerjaan
Job Analyst;ICA;Analis Pekerjaan
Job Analyst;ICS;Analis Pekerjaan
Job Analyst;IEA;Analis Pekerjaan
Job Development Specialist;SCA;Spesialis Pengembangan Pekerjaan
Job Development Specialist;SRA;Spesialis Pengembangan Pekerjaan
Job Development Specialist;SRC;Spesialis Pengembangan Pekerjaan
Job Tracer;ECR;Pelacak Pekerjaan
Jockey;RAI;Joki
Jockey;RES;Joki
Judge;ESA;Hakim
Judicial Law Clerk;CAE;Panitera Hukum Yudisial
Judicial Law Clerk;CAI;Panitera Hukum Yudisial
Judicial Law Clerk;CAR;Panitera Hukum Yudisial
Judicial Law Clerk;CAS;Panitera Hukum Yudisial
Judicial Law Clerk;CEA;Panitera Hukum Yudisial
Judicial Law Clerk;CIR;Panitera Hukum Yudisial
Judicial Law Clerk;CSA;Panitera Hukum Yudisial
Kennel Supervisor;RAI;Pengawas Kennel
Kennel Supervisor;RCE;Pengawas Kennel
Kitchen Supervisor;ERS;Pengawas Dapur
"Knitter, Hand";CAE;"Perajut, Tangan"
"Knitter, Hand";CAI;"Perajut, Tangan"
"Knitter, Hand";CAR;"Perajut, Tangan"
"Knitter, Hand";CAS;"Perajut, Tangan"
"Knitter, Hand";CEA;"Perajut, Tangan"
"Knitter, Hand";CRE;"Perajut, Tangan"
"Knitter, Hand";CSA;"Perajut, Tangan"
Laboratory Clerk;RAI;Petugas Laboratorium
Laboratory Clerk;RCE;Petugas Laboratorium
Laboratory Supervisor;EIS;pengawas laboratorium
"Laboratory Supervisor, Tectiles";IAC;#N/A
"Laboratory Supervisor, Tectiles";IAE;#N/A
"Laboratory Supervisor, Tectiles";ICA;#N/A
"Laboratory Supervisor, Tectiles";IEA;#N/A
"Laboratory Supervisor, Tectiles";IER;#N/A
Laboratory Technician;RAI;Teknisi laboratorium
Laboratory Technician;RIE;Teknisi laboratorium
Laboratory Tester;RAI;Penguji Laboratorium
Laboratory Tester;RIC;Penguji Laboratorium
Laboratory Tester (RIC);CRI;#N/A
Laboratory Tester (RIC);CIR;#N/A
Labor Relations Specialist;ESC;Spesialis Hubungan Perburuhan
Landscape Architect;AIC;Arsitek Lanskap
Landscape Architect;AIR;Arsitek Lanskap
Landscape Architect;ARC;Arsitek Lanskap
Landscape Architect (AIR);ARI;#N/A
Landscape Architect (AIR);IAR;#N/A
Landscape Architect (AIR);IRA;#N/A
Landscape Contractor;ESR;Kontraktor Lansekap
Landscape Gardener;RAI;Kontraktor Lansekap
Landscape Gardener;RIS;Kontraktor Lansekap
Landscape Specialist;CAE;Spesialis Lansekap
Landscape Specialist;CAI;Spesialis Lansekap
Landscape Specialist;CAR;Spesialis Lansekap
Landscape Specialist;CAS;Spesialis Lansekap
Landscape Specialist;CEA;Spesialis Lansekap
Landscape Specialist;CRS;Spesialis Lansekap
Landscape Specialist;CSA;Spesialis Lansekap
Landscaping and Groundskeeping Worker;RAI;Pekerja Lansekap dan Pemeliharaan Lahan
Landscaping and Groundskeeping Worker;RCE;Pekerja Lansekap dan Pemeliharaan Lahan
Laserist;AIC;Laseris
Laserist;ARC;Laseris
Laserist;ASI;Laseris
Laserist (ASI);AIS;#N/A
Laserist (ASI);IAS;#N/A
Laser Technician;IAC;Teknisi Laser
Laser Technician;IAE;Teknisi Laser
Laser Technician;ICA;Teknisi Laser
Laser Technician;IEA;Teknisi Laser
Laser Technician;IRE;Teknisi Laser
Laser Technician (IRE);SEA;#N/A
Laundry and Dry Cleaning Worker ;RAI;Pekerja Laundry dan Dry Cleaning
Laundry and Dry Cleaning Worker ;RES;Pekerja Laundry dan Dry Cleaning
Lawyer;ESI;Pengacara
Legislative Assistant;ESR;Asisten Legislatif
Legislator;ESC;Pembuat Undang-undang (Legislator)
Librarian;SAI;Pustakawan
Librarian;SCA;Pustakawan
Librarian;SRA;Pustakawan
"Librarian, Head";SCA;Kepala Pustakawan
"Librarian, Head";SER;Kepala Pustakawan
"Librarian, Head";SRA;Kepala Pustakawan
Librarian (SAI);AIS;#N/A
Librarian (SAI);IAS;#N/A
Library Agent;ESA;Agen Perpustakaan
Library Assistant;CAE;Asisten Perpustakaan
Library Assistant;CAI;Asisten Perpustakaan
Library Assistant;CAR;Asisten Perpustakaan
Library Assistant;CAS;Asisten Perpustakaan
Library Assistant;CEA;Asisten Perpustakaan
Library Assistant;CSA;Asisten Perpustakaan
Library Assistant;CSE;Asisten Perpustakaan
Library Assistant/Clerical;SCA;Asisten Perpustakaan/Administrasi
Library Assistant/Clerical;SCR;Asisten Perpustakaan/Administrasi
Library Assistant/Clerical;SRA;Asisten Perpustakaan/Administrasi
Library Consultant;ESI;Konsultan Perpustakaan
Library Technical Assistat;ESI;#N/A
Licensse Clerk;CAE;#N/A
Licensse Clerk;CAI;#N/A
Licensse Clerk;CAR;#N/A
Licensse Clerk;CAS;#N/A
Licensse Clerk;CEA;#N/A
Licensse Clerk;CSA;#N/A
Licensse Clerk;CSE;#N/A
Lifeguard;RAI;Penjaga Pantai
Lifeguard;RSC;Penjaga Pantai
"Life, Physical, and Social Science Technician";IAC;"Teknisi Ilmu Alam, Fisika, dan Sosial"
"Life, Physical, and Social Science Technician";IAE;"Teknisi Ilmu Alam, Fisika, dan Sosial"
"Life, Physical, and Social Science Technician";ICA;"Teknisi Ilmu Alam, Fisika, dan Sosial"
"Life, Physical, and Social Science Technician";IEA;"Teknisi Ilmu Alam, Fisika, dan Sosial"
"Life, Physical, and Social Science Technician";IRS;"Teknisi Ilmu Alam, Fisika, dan Sosial"
"Line Service Attendant, Air Transportation ";RAI;"Petugas Servis Lini, Transportasi Udara"
"Line Service Attendant, Air Transportation ";RIE;"Petugas Servis Lini, Transportasi Udara"
Linguist;IAC;Ahli Bahasa
Linguist;IAE;Ahli Bahasa
Linguist;ICA;Ahli Bahasa
Linguist;IEA;Ahli Bahasa
Linguist;ISC;Ahli Bahasa
Linguist (ISC);ICS;#N/A
Linguist (ISC);SCI;#N/A
Livestock Rancher;RAI;Pemilik Peternakan
Livestock Rancher;RSI;Pemilik Peternakan
Livestock Yard Supervisor;RAI;Pengawas Kebun Ternak
Livestock Yard Supervisor;REA;Pengawas Kebun Ternak
Livestock Yard Supervisor (REA);ERA;#N/A
"Loan Interviewer, Mortgage";ESC;"Pewawancara Pinjaman, Penggadaian"
Loan Officer;SCA;Petugas Pinjaman
Loan Officer;SEI;Petugas Pinjaman
Loan Officer;SRA;Petugas Pinjaman
Lobby Attendant and Ticket Taker;SCA;Petugas Lobi dan Pengambil Tiket
Lobby Attendant and Ticket Taker;SCR;Petugas Lobi dan Pengambil Tiket
Lobby Attendant and Ticket Taker;SRA;Petugas Lobi dan Pengambil Tiket
Lobbyist;ESA;Pelobi
Location Manager;EAR;Manajer Lokasi
Location Manager (EAR);ERA;#N/A
Locker Room/Coatroom/Dressing Room Attendant;SCA;Petugas Ruang Loker/ Ruang Mantel/Ruang Rias
Locker Room/Coatroom/Dressing Room Attendant;SRA;Petugas Ruang Loker/ Ruang Mantel/Ruang Rias
Locker Room/Coatroom/Dressing Room Attendant;SRC;Petugas Ruang Loker/ Ruang Mantel/Ruang Rias
Locksmith;RAI;Tukang Kunci
Locksmith;REC;Tukang Kunci
Logging Operations Inspector;RAI;Inspektur Operasi Penebangan
Logging Operations Inspector;RES;Inspektur Operasi Penebangan
Logging Superintendent;ERI;Pengawas Penerbangan
Logistician;ECS;Ahli Logistik
Logistics Analyst;IAC;Analis Logistik
Logistics Analyst;IAE;Analis Logistik
Logistics Analyst;ICA;Analis Logistik
Logistics Analyst;ICE;Analis Logistik
Logistics Analyst;IEA;Analis Logistik
Logistics Analyst (ICE);CIE;#N/A
Logistics Analyst (ICE);CEI;#N/A
Logistics Engineer;IAC;Insinyur Logistik
Logistics Engineer;IAE;Insinyur Logistik
Logistics Engineer;ICA;Insinyur Logistik
Logistics Engineer;IEA;Insinyur Logistik
Logistics Engineer;IEC;Insinyur Logistik
Logistics Engineer (IEC);ICE;#N/A
Logistics Engineer (IEC);CIE;#N/A
Logistics Engineer (IEC);CEI;#N/A
Logistics Manager;EIC;Manajer Logistik
Logistics Manager (EIC);ICE;#N/A
Logistics Manager (EIC);CIE;#N/A
Logistics Manager (EIC);CEI;#N/A
Loss Prevention Specialist;IAC;Spesialis Pencegahan Kerugian
Loss Prevention Specialist;IAE;Spesialis Pencegahan Kerugian
Loss Prevention Specialist;ICA;Spesialis Pencegahan Kerugian
Loss Prevention Specialist;ICR;Spesialis Pencegahan Kerugian
Loss Prevention Specialist;IEA;Spesialis Pencegahan Kerugian
Loss Prevention Specialist (ICR);CRI;#N/A
Loss Prevention Specialist (ICR);CIR;#N/A
Luggage Maker;RAI;Pembuat Bagasi
Luggage Maker;REC;Pembuat Bagasi
Machine Maintenance/Repair Worker;RAI;Pemeliharaan Mesin/Pekerja Perbaikan
Machine Maintenance/Repair Worker;RCI;Pemeliharaan Mesin/Pekerja Perbaikan
Machine Maintenance/Repair Worker (RCI);CRI;#N/A
Machine Maintenance/Repair Worker (RCI);CIR;#N/A
Machinist;RAI;Masinis
Machinist;RIE;Masinis
Magician;AES;#N/A
Magnetic Resonance Imaging Technologist;RAI;Teknologi Pencitraan Resonansi Magnetik
Magnetic Resonance Imaging Technologist;RSC;Teknologi Pencitraan Resonansi Magnetik
Maid Housekeeper;RAI;Pembantu Rumah Tangga
Maid Housekeeper;RES;Pembantu Rumah Tangga
Mail Clerk;CAE;Pegawai Pos
Mail Clerk;CAI;Pegawai Pos
Mail Clerk;CAR;Pegawai Pos
Mail Clerk;CAS;Pegawai Pos
Mail Clerk;CEA;Pegawai Pos
Mail Clerk;CRE;Pegawai Pos
Mail Clerk;CSA;Pegawai Pos
Mail Handler;RAI;Penangan Surat
Mail Handler;RSC;Penangan Surat
Mail Machine Operator;RAI;Operator Mesin Surat
Mail Machine Operator;RCE;Operator Mesin Surat
Mailroom Supervisor;ESR;Pengawas Mailroom
Maintenance Chief;ECR;Kepala Pemeliharaan
Maintenance Inspector;RAI;Inspektur Perawatan
Maintenance Inspector;RES;Inspektur Perawatan
"Maintenance of Equipment Superintendent, Motor Transportation ";ECS;"Pemeliharaan Peralatan Inspektur, Transportasi Motor"
Maintenance Scheduler;ECS;Penjadwal Perawatan
"Maintenance Supervisor, Utilities";EIR;"Supervisor Perawatan, Utilitas"
Maintenance Worker;RAI;Pekerja Pemeliharaan
Maintenance Worker;RCI;Pekerja Pemeliharaan
Maintenance Worker (RCI);CRI;#N/A
Maintenance Worker (RCI);CIR;#N/A
"Manager, Advertisig and Promotions";ESC;#N/A
"Manager, Advertising Agency";AES;#N/A
"Manager, apartment";ERS;"Manajer, apartemen"
"Manager, Automobile Service Station ";ERS;"Manajer, Bengkel Servis Mobil"
"Manager, Bakery";ESR;"Manajer, Toko Roti"
"Manager, Barber or Beauty Shop";ESC;"Manajer, Tukang Cukur atau Toko Kecantikan"
"Manager, Biofuels/Biodiesel Technology and Product Development";IAC;"Manajer, Biofuel/Teknologi dan Produk Biodiesel"
"Manager, Biofuels/Biodiesel Technology and Product Development";IAE;"Manajer, Biofuel/Teknologi dan Produk Biodiesel"
"Manager, Biofuels/Biodiesel Technology and Product Development";ICA;"Manajer, Biofuel/Teknologi dan Produk Biodiesel"
"Manager, Biofuels/Biodiesel Technology and Product Development";IEA;"Manajer, Biofuel/Teknologi dan Produk Biodiesel"
"Manager, Biofuels/Biodiesel Technology and Product Development";IEC;"Manajer, Biofuel/Teknologi dan Produk Biodiesel"
"Manager, Biofuels/Biodiesel Technology and Product Development (IEC)";ICE;#N/A
"Manager, Biofuels/Biodiesel Technology and Product Development (IEC)";CIE;#N/A
"Manager, Biofuels/Biodiesel Technology and Product Development (IEC)";CEI;#N/A
"Manager, Biomass Power Plant";EIS;"Manajer, Pembangkit Listrik Biomassa"
"Manager, Branch Store";ECS;"Manajer, Cabang Toko"
"Manager, Brokerage Office";ESR;"Manajer, Kantor Pialang"
"Manager, Bulk Plant";ERI;"Manajer, Pabrik Massal"
"Manager, Computer and Information Systems";IAC;"Manajer, Komputer dan Sistem Informasi"
"Manager, Computer and Information Systems";IAE;"Manajer, Komputer dan Sistem Informasi"
"Manager, Computer and Information Systems";ICA;"Manajer, Komputer dan Sistem Informasi"
"Manager, Computer and Information Systems";IEA;"Manajer, Komputer dan Sistem Informasi"
"Manager, Computer and Information Systems";IER;"Manajer, Komputer dan Sistem Informasi"
"Manager, Computer Operations";SCA;"Manajer, Operasi Komputer"
"Manager, Computer Operations";SEI;"Manajer, Operasi Komputer"
"Manager, Computer Operations";SRA;"Manajer, Operasi Komputer"
"Manager, Condominium";ESC;"Manajer, Kondominium"
"Manager, Convention";ESA;"Manajer, Konvensi"
"Manager, Credit and Collection";ESC;"Manajer, Kredit dan Koleksi"
"Manager, Customer Technical Services";ESR;"Manajer, Pelayanan Teknis Pelanggan"
"Manager, Dance Studio";ESA;"Manajer, Studio Tari"
"Manager, Dental Lboratory";EIS;#N/A
"Manager, Department";ESA;"Manajer, Departemen"
"Manager, Department Store";SCA;"Manajer, Department Store"
"Manager, Department Store";SER;"Manajer, Department Store"
"Manager, Department Store";SRA;"Manajer, Department Store"
"Manager, e-Commerce Merchandising";ESA;"Manajer, Merchandising e-Commerce"
"Manager, Education and Training";EIS;"Manajer, Pendidikan dan Pelatihan"
"Manager, Employee Welfare";SCA;"Manajer, Kesejahteraan Karyawan"
"Manager, Employee Welfare";SEA;"Manajer, Kesejahteraan Karyawan"
"Manager, Employee Welfare";SRA;"Manajer, Kesejahteraan Karyawan"
"Manager, Fast Food Services";SCA;"Manajer, Layanan Makanan Cepat Saji"
"Manager, Fast Food Services";SER;"Manajer, Layanan Makanan Cepat Saji"
"Manager, Fast Food Services";SRA;"Manajer, Layanan Makanan Cepat Saji"
"Manager, Financial Institution";ESR;"Manajer, Lembaga Keuangan"
"Manager, Flight Operations";ESI;"Manajer, Operasi Penerbangan"
"Manager, Food Service";ESR;"Manajer, Layanan Makanan"
"Manager, Golf Club";ECS;"Manajer, Klub Golf"
"Manager, Harbor Department";ERS;"Manajer, Departemen Pelabuhan"
"Manager, Hotel/Motel";ESR;"Manajer, Hotel/Motel"
"Manager, Housekeeping";ESR;"Manajer, Tata graha"
Manager Hydroelectric Production;RAI;Manajer Produksi PLTA
Manager Hydroelectric Production;RIE;Manajer Produksi PLTA
"Manager, Insurance Office";ESC;"Manajer, Kantor Asuransi"
"Manager, Investment Fund";EIS;"Manajer, Dana Investasi"
"Manager, Laboratory";IAC;"Manajer, Laboratorium"
"Manager, Laboratory";IAE;"Manajer, Laboratorium"
"Manager, Laboratory";ICA;"Manajer, Laboratorium"
"Manager, Laboratory";IEA;"Manajer, Laboratorium"
"Manager, Laboratory";IRS;"Manajer, Laboratorium"
"Manager, Labor Relations";ESR;"Manajer, Hubungan Perburuhan"
"Manager, Land Surveying";IAC;"Manajer, Survei Tanah"
"Manager, Land Surveying";IAE;"Manajer, Survei Tanah"
"Manager, Land Surveying";ICA;"Manajer, Survei Tanah"
"Manager, Land Surveying";IEA;"Manajer, Survei Tanah"
"Manager, Land Surveying";IER;"Manajer, Survei Tanah"
"Manager, Laundromat";ERI;"Manajer, Laundromat (mesin cuci dengan koin)"
"Manager, Loss Prevention";ECI;"Manajer, Pencegahan Kehilangan"
"Manager, Loss Prevention (ECI)";ICE;#N/A
"Manager, Loss Prevention (ECI)";CIE;#N/A
"Manager, Loss Prevention (ECI)";CEI;#N/A
"Manager, Marina Dry Dock";ERI;"Manajer, Marina Dry Dock"
"Manager, Nursery and Greenhouse";ESA;"Manajer, Pembibitan dan Rumah Kaca"
Manager of Correctional Officers;ERS;Manajer Petugas Pemasyarakatan
"Manager of Framing, Fishing and Forestry Workers";ERS;#N/A
"Manager of Helpers, Laborers, and Material Movers";ERS;"Manajer Pembantu, Pekerja, dan Penggerak Material"
Manager of Landscaping & Groundskeeping Workers;RAI;Manajer Pekerja Lansekap & Pemeliharaan Lahan
Manager of Landscaping & Groundskeeping Workers;REC;Manajer Pekerja Lansekap & Pemeliharaan Lahan
"Manager of Mechacics, Installers, and Repairers";RAI;#N/A
"Manager of Mechacics, Installers, and Repairers";RIS;#N/A
Manager of Office and Administrative Support Workers;SCA;Manajer Pekerja Pendukung Kantor dan Administrasi
Manager of Office and Administrative Support Workers;SCE;Manajer Pekerja Pendukung Kantor dan Administrasi
Manager of Office and Administrative Support Workers;SRA;Manajer Pekerja Pendukung Kantor dan Administrasi
Manager of Production and Operating Workers;SCA;Manajer Pekerja Produksi dan Operasi
Manager of Production and Operating Workers;SRA;Manajer Pekerja Produksi dan Operasi
Manager of Production and Operating Workers;SRC;Manajer Pekerja Produksi dan Operasi
"Manager, Orchard";RAI;"Manajer, Kebun Buah-buahan"
"Manager, Orchard";REC;"Manajer, Kebun Buah-buahan"
"Manager, Procurement Services";ECS;"Manajer, Layanan Pengadaan"
"Manager, Property/Community Association";EAS;"Manajer, Asosiasi Properti/Komunitas"
"Manager, Quality Control";IAC;"Manajer, Quality Control"
"Manager, Quality Control";IAE;"Manajer, Quality Control"
"Manager, Quality Control";ICA;"Manajer, Quality Control"
"Manager, Quality Control";IEA;"Manajer, Quality Control"
"Manager, Quality Control";IER;"Manajer, Quality Control"
"Manager, Records Analysis";EAI;"Manajer, Analisis Catatan"
"Manager, Records Analysis (EAI)";AIE;#N/A
"Manager, Regulatory Affairs";ECI;"Manajer, Urusan Regulasi"
"Manager, Regulatory Affairs (ECI)";ICE;#N/A
"Manager, Regulatory Affairs (ECI)";CIE;#N/A
"Manager, Regulatory Affairs (ECI)";CEI;#N/A
"Manager, Retail Store";ESC;"Manajer, Toko Retail"
"Manager, Safety";IAC;"Manajer, Keselamatan"
"Manager, Safety";IAE;"Manajer, Keselamatan"
"Manager, Safety";ICA;"Manajer, Keselamatan"
"Manager, Safety";IEA;"Manajer, Keselamatan"
"Manager, Safety";IES;"Manajer, Keselamatan"
"Manager, Social and Community Service";ESR;"Manajer, Layanan Sosial dan Komunitas"
"Manager, Solar Energy Installation";RAI;"Manajer, Instalasi Energi Matahari"
"Manager, Solar Energy Installation";REC;"Manajer, Instalasi Energi Matahari"
"Manager, Spa";ECS;"Manajer, Spa"
"Manager, Storage Garage";ESR;"Manajer, Tempat Penyimpanan"
"Manager, Theater";ESR;"Manajer, Teater"
"Manager, Training and Development";SCA;"Manajer, Pelatihan dan Pengembangan"
"Manager, Training and Development";SEC;"Manajer, Pelatihan dan Pengembangan"
"Manager, Training and Development";SRA;"Manajer, Pelatihan dan Pengembangan"
"Manager, Travel Agency";ESR;"Manajer, Agensi Perjalanan"
"Manager, Vehicle Leasing and Rental";ERS;"Manajer, Penyewaan dan Rental Kendaraan"
"Manager, Warehouse";ESR;"Manajer, Gudang"
"Manager, Wind Energy Operations";IAC;"Manajer, Operasi Energi Angin"
"Manager, Wind Energy Operations";IAE;"Manajer, Operasi Energi Angin"
"Manager, Wind Energy Operations";ICA;"Manajer, Operasi Energi Angin"
"Manager, Wind Energy Operations";IEA;"Manajer, Operasi Energi Angin"
"Manager, Wind Energy Operations";IER;"Manajer, Operasi Energi Angin"
Manicurist/Pedicurist;RAI;Manikur/Pedikur
Manicurist/Pedicurist;RAS;Manikur/Pedikur
Manicurist/Pedicurist (RAS);ARS;#N/A
Manufacturer's Service Representative;RAI;Perwakilan Layanan Manufaktur
Manufacturer's Service Representative;RES;Perwakilan Layanan Manufaktur
Manufacture's Representative;ESA;#N/A
Manufacturing Engineering Tecchnologist;RAI;#N/A
Manufacturing Engineering Tecchnologist;RIC;#N/A
Manufacturing Engineering Tecchnologist (RIC);CRI;#N/A
Manufacturing Engineering Tecchnologist (RIC);CIR;#N/A
Manufacturing Production Technician;RAI;Teknisi Produksi Pabrikan
Manufacturing Production Technician;RIC;Teknisi Produksi Pabrikan
Manufacturing Production Technician (RIC);CRI;#N/A
Manufacturing Production Technician (RIC);CIR;#N/A
Mapping Technician;ECR;Teknisi Pemetaan
Marina Sales and Service Supervisor;ERA;Marina Sales dan Supervisor Layanan
Marine Biologist;IAC;Ahli biologi kelautan
Marine Biologist;IAE;Ahli biologi kelautan
Marine Biologist;ICA;Ahli biologi kelautan
Marine Biologist;IEA;Ahli biologi kelautan
Marine Biologist;IRE;Ahli biologi kelautan
Marine Biologist (IRE);SEA;#N/A
Marine Service Manager;RAI;Manajer Layanan Kelautan
Marine Service Manager;REA;Manajer Layanan Kelautan
Marine Service Manager (REA);ERA;#N/A
Marine Services Technician;RAI;Teknisi Layanan Kelautan
Marine Services Technician;RCE;Teknisi Layanan Kelautan
Marketing Executive;EIC;Eksekutif Pemasaran
Marketing Executive (EIC);ICE;#N/A
Marketing Executive (EIC);CIE;#N/A
Marketing Executive (EIC);CEI;#N/A
Market Research Analyst;IAC;Analis Riset Pasar
Market Research Analyst;IAE;Analis Riset Pasar
Market Research Analyst;ICA;Analis Riset Pasar
Market Research Analyst;IEA;Analis Riset Pasar
Market Research Analyst;ISC;Analis Riset Pasar
Market Research Analyst (ISC);ICS;#N/A
Market Research Analyst (ISC);SCI;#N/A
Marriage and Family Therapist;SAI;Terapis Pernikahan dan Keluarga
Marriage and Family Therapist;SCA;Terapis Pernikahan dan Keluarga
Marriage and Family Therapist;SRA;Terapis Pernikahan dan Keluarga
Marriage and Family Therapist (SAI);AIS;#N/A
Marriage and Family Therapist (SAI);IAS;#N/A
Mason;RAI;Tukang Batu
Mason;RES;Tukang Batu
Massage Therapist;SCA;Terapis Pijat
Massage Therapist;SRA;Terapis Pijat
Massage Therapist;SRC;Terapis Pijat
Material Scheduler;IAC;Penjadwal Material
Material Scheduler;IAE;Penjadwal Material
Material Scheduler;ICA;Penjadwal Material
Material Scheduler;IEA;Penjadwal Material
Material Scheduler;IRC;Penjadwal Material
Material Scheduler (IRC);CRI;#N/A
Material Scheduler (IRC);CIR;#N/A
Materials Scientist;RAI;Ilmuwan Material
Materials Scientist;RIE;Ilmuwan Material
Mathematical Technician;IAC;Teknisi Matematika
Mathematical Technician;IAE;Teknisi Matematika
Mathematical Technician;ICA;Teknisi Matematika
Mathematical Technician;IEA;Teknisi Matematika
Mathematical Technician;IRC;Teknisi Matematika
Mathematical Technician (IRC);CRI;#N/A
Mathematical Technician (IRC);CIR;#N/A
Mathematician;IAC;Ahli matematika
Mathematician;IAE;Ahli matematika
Mathematician;ICA;Ahli matematika
Mathematician;IEA;Ahli matematika
Mathematician;IER;Ahli matematika
Mechanical Door Repairer;RAI;Reparasi Pintu Mekanis
Mechanical Door Repairer;RIC;Reparasi Pintu Mekanis
Mechanical Door Repairer (RIC);CRI;#N/A
Mechanical Door Repairer (RIC);CIR;#N/A
Mechanical Engineering Technologist;RAI;Teknikus Teknik Mesin
Mechanical Engineering Technologist;RIC;Teknikus Teknik Mesin
Mechanical Engineering Technologist (RIC);CRI;#N/A
Mechanical Engineering Technologist (RIC);CIR;#N/A
Media and Communication Equipment Worker;RAI;Pekerja Media dan Alat Komunikasi
Media and Communication Equipment Worker;RCI;Pekerja Media dan Alat Komunikasi
Media and Communication Equipment Worker (RCI);CRI;#N/A
Media and Communication Equipment Worker (RCI);CIR;#N/A
Media Coordinator ;CAE;Koordinator Media
Media Coordinator ;CAI;Koordinator Media
Media Coordinator ;CAR;Koordinator Media
Media Coordinator ;CAS;Koordinator Media
Media Coordinator ;CEA;Koordinator Media
Media Coordinator ;CSA;Koordinator Media
Media Coordinator ;CSE;Koordinator Media
Media Director;ESC;Direktur Media
Media Marketing Director;ESR;Direktur Pemasaran Media
Medical Appliance Technicians  ;RAI;Teknisi Alat Medis
Medical Appliance Technicians  ;RSC;Teknisi Alat Medis
Medical Assistant;SCA;Asisten Medis
Medical Assistant;SCR;Asisten Medis
Medical Assistant;SRA;Asisten Medis
Medical Equipment Repairer;RAI;Reparasi Peralatan Medis
Medical Equipment Repairer;RCI;Reparasi Peralatan Medis
Medical Equipment Repairer (RCI);CRI;#N/A
Medical Equipment Repairer (RCI);CIR;#N/A
Medical Laboratory Assistant;IAC;Asisten Laboratorium Medis
Medical Laboratory Assistant;IAE;Asisten Laboratorium Medis
Medical Laboratory Assistant;ICA;Asisten Laboratorium Medis
Medical Laboratory Assistant;IEA;Asisten Laboratorium Medis
Medical Laboratory Assistant;IRE;Asisten Laboratorium Medis
Medical Laboratory Assistant (IRE);SEA;#N/A
Medical Records Administrator;SCA;Administrator Catatan Medis
Medical Records Administrator;SIE;Administrator Catatan Medis
Medical Records Administrator;SRA;Administrator Catatan Medis
Medical Records Clerk;CAE;Petugas Catatan Medis
Medical Records Clerk;CAI;Petugas Catatan Medis
Medical Records Clerk;CAR;Petugas Catatan Medis
Medical Records Clerk;CAS;Petugas Catatan Medis
Medical Records Clerk;CEA;Petugas Catatan Medis
Medical Records Clerk;CSA;Petugas Catatan Medis
Medical Records Clerk;CSI;Petugas Catatan Medis
Medical Records Clerk (CSI);ICS;#N/A
Medical Records Clerk (CSI);SCI;#N/A
Medical Records Technician ;CAE;Teknisi Rekam Medis
Medical Records Technician ;CAI;Teknisi Rekam Medis
Medical Records Technician ;CAR;Teknisi Rekam Medis
Medical Records Technician ;CAS;Teknisi Rekam Medis
Medical Records Technician ;CEA;Teknisi Rekam Medis
Medical Records Technician ;CIR;Teknisi Rekam Medis
Medical Records Technician ;CSA;Teknisi Rekam Medis
Medical Scientist;IAC;Ilmuwan Medis
Medical Scientist;IAE;Ilmuwan Medis
Medical Scientist;ICA;Ilmuwan Medis
Medical Scientist;IEA;Ilmuwan Medis
Medical Scientist;IER;Ilmuwan Medis
Medical Secretary;CAE;Sekretaris Medis
Medical Secretary;CAI;Sekretaris Medis
Medical Secretary;CAR;Sekretaris Medis
Medical Secretary;CAS;Sekretaris Medis
Medical Secretary;CEA;Sekretaris Medis
Medical Secretary;CES;Sekretaris Medis
Medical Secretary;CSA;Sekretaris Medis
Medical Social Worker;ESA;Pekerja Sosial Medis
Medical Technologist;IAC;Teknisi Medis
Medical Technologist;IAE;Teknisi Medis
Medical Technologist;ICA;Teknisi Medis
Medical Technologist;IEA;Teknisi Medis
Medical Technologist;ISA;Teknisi Medis
"Medical Technologist, Chief";IAC;"Teknisi Medis, Ketua"
"Medical Technologist, Chief";IAE;"Teknisi Medis, Ketua"
"Medical Technologist, Chief";ICA;"Teknisi Medis, Ketua"
"Medical Technologist, Chief";IEA;"Teknisi Medis, Ketua"
"Medical Technologist, Chief";IER;"Teknisi Medis, Ketua"
Medical Technologist (ISA);AIS;#N/A
Medical Technologist (ISA);IAS;#N/A
Medical Transcriptionist;CAE;Medical Transcriptionist
Medical Transcriptionist;CAI;Medical Transcriptionist
Medical Transcriptionist;CAR;Medical Transcriptionist
Medical Transcriptionist;CAS;Medical Transcriptionist
Medical Transcriptionist;CEA;Medical Transcriptionist
Medical Transcriptionist;CSA;Medical Transcriptionist
Medical Transcriptionist;CSR;Medical Transcriptionist
Memorial Designer;AER;#N/A
Memorial Designer (AER);ERA;#N/A
Mental Health and Substance Abuse Social Worker;SCA;Pekerja Kesehatan Sosial dan Penyalahgunaan Zat
Mental Health and Substance Abuse Social Worker;SEA;Pekerja Kesehatan Sosial dan Penyalahgunaan Zat
Mental Health and Substance Abuse Social Worker;SRA;Pekerja Kesehatan Sosial dan Penyalahgunaan Zat
Mental Health Counselor;SAE;Konselor Kesehatan Mental
Mental Health Counselor;SCA;Konselor Kesehatan Mental
Mental Health Counselor;SRA;Konselor Kesehatan Mental
Metallographer;IAC;Metalografer
Metallographer;IAE;Metalografer
Metallographer;ICA;Metalografer
Metallographer;IEA;Metalografer
Metallographer;IRE;Metalografer
Metallographer (IRE);SEA;#N/A
"Metallurgist, Physical";IAC;"Ahli Metalurgi, Fisika"
