Program Studi;Kode
Pharmacy;ICE
Pharmacy Administration and Pharmacy Policy and Regulatory Affairs;ICE
"Pharmacy, Pharmaceutical Sciences, and Administration";ICE
Psychology;ICE
Psychometrics and Quantitative Psychology;ICE
Research and Experimental Psychology;ICE
Rural Sociology;ICE
School Psychology;ICE
Environmental/Envoronmental Health Engineering;ICE
Pharmacoeconomics/Pharmaceutical Ecoomics;ICE
Cytotechnology/Cytotechnologist;ICE
Costume Design;ARI
Commercial Photography;ARS
Photography;ARS
Graphic and Printing Equipment Operator Production;ARE
Progress/Desktop Publishing af Digital Imaging Design;ARE
Costume Design;ARC
Commercial Photography;ARC
Photography;ARC
Graphic and Printing Equipment Operator Production;ARC
Progress/Desktop Publishing af Digital Imaging Design;ARC
Architectural History and Criticism;ARC
Environmental  Design ;ARC
Philosophy;ARC
Fashion and Fabric Consultant;ARC
Fashion /Apparel Design;ARC
Adults and Continuing Education and Teaching;ARC
American Literature;ARC
Comparative Literature;ARC
"Crafts/Craft Design, Folk Art and Artisanry";ARC
English Language and Literature/Letters;ARC
English Literature (British and Commonwealth);ARC
"Fiber, Textile, and Weaving Arts";ARC
"Music History, Literature and Theory";ARC
"Theater Literature, History and Criticism";ARC
Brass Istruments;ARC
Jazz/Jazz Studies;ARC
Keyboard Instruments;ARC
Music Pedagogy;ARC
Percussion Instruments;ARC
Stringed Instruments;ARC
Woodwind Instrumets;ARC
Agricultural Communication/Journalism;ARC
Art/Art Studies;ARC
Ballet;ARC
Ceramic Arts and Ceramics;ARC
Commercial and Advertising Art;ARC
Dance;ARC
Design ad Visual Communications;ARC
Drawing;ARC
Energy Management and Systems Technology/Technician;ARC
Fine Arts ad Art Studies;ARC
Industrial and Product Design;ARC
Interior Architecture;ARC
Make-up Artist/Specialist;ARC
Medical Illustration/Medical Illustrator;ARC
Packaging Sciece;ARC
Painting;ARC
Permanent Cosmetics/Makeup and Tattooing;ARC
Printmaking;ARC
Sculpture;ARC
Visual and Performing Arts;ARC
Architectural History and Criticism;AIR
Environmental  Design ;AIR
Philosophy;AIE
Fashion and Fabric Consultant;ASR
Fashion /Apparel Design;ASR
Adults and Continuing Education and Teaching;ASE
American Literature;ASE
Comparative Literature;ASE
"Crafts/Craft Design, Folk Art and Artisanry";ASE
English Language and Literature/Letters;ASE
English Literature (British and Commonwealth);ASE
"Fiber, Textile, and Weaving Arts";ASE
"Music History, Literature and Theory";ASE
"Theater Literature, History and Criticism";ASE
Brass Istruments;ASC
Jazz/Jazz Studies;ASC
Keyboard Instruments;ASC
Music Pedagogy;ASC
Percussion Instruments;ASC
Stringed Instruments;ASC
Woodwind Instrumets;ASC
Agricultural Communication/Journalism;AER
Art/Art Studies;AER
Ballet;AER
Ceramic Arts and Ceramics;AER
Commercial and Advertising Art;AER
Dance;AER
Design ad Visual Communications;AER
Drawing;AER
Energy Management and Systems Technology/Technician;AER
Fine Arts ad Art Studies;AER
Industrial and Product Design;AER
Interior Architecture;AER
Make-up Artist/Specialist;AER
Medical Illustration/Medical Illustrator;AER
Packaging Sciece;AER
Painting;AER
Permanent Cosmetics/Makeup and Tattooing;AER
Printmaking;AER
Sculpture;AER
Visual and Performing Arts;AER
Mammography Technician/Technology;SRI
Phlebotomy Technician/Phlebotomist;SRI
Radiologic Tecchology/Science (Radiographer);SRI
Respiratory Care Therapy/Therapist;SRI
Respiratory Therapy Technician/Assistant;SRI
Athletic Training/Trainer;SRE
Chiropractic Assistant/Technician;SRE
Occupational Therapy/Therapist;SRE
"Parks, Recreation, and Leisure Studies";SRE
Physical Fitness Technician;SRE
Yoga Teacher Training/Yoga Therapy;SRE
Learning Sciences;SRC
Speech Language Pathology/Assistant;SRC
Animal Assisted Therapy;SIR
Art Therapy/Therapist;SIR
Cardiovascular Technology/Technologist;SIR
Dance Therapy/Therapist;SIR
Herbalism/Herbalist;SIR
Movement Therapy and Movement Education;SIR
Music Therapy/Therapist;SIR
Naturopathic Medicine/Naturopathy;SIR
Podiatric Medicine/Podiatry;SIR
Rehabilitation and Therapeutic Professions;SIR
Traditional Chinese Medicine and Chinese Herbology;SIR
Clinical Psychology;SIA
Counseling Psychology;SIA
Genetic Counseling/Counselor;SIA
Health/Medical Psychology;SIA
Psychoanalysis and Psychotherapy;SIA
Adult Health Nurse/Nursing;SIE
Clinical Nursig;SIE
Clinical Nutrition/Nutritionist;SIE
Dietetics/Dietitian;SIE
Emergency Room/Trauma Nursing;SIE
Family Practice Nurse/Nursing;SIE
"Food, Nutrition, and Wellness Studies";SIE
Geriatric Nurse/Nursing;SIE
Human Nutrition;SIE
Kinesiotherapy/Kinesiotherapist;SIE
Maternal/Child Health and Neonatal Nurse/Nursing;SIE
Medieval and Renaisance Studies;SIE
Nurse Anesthetist;SIE
Nurse Midwife/Nursing Midwifery;SIE
Nursing Education;SIE
Nursing Science;SIE
Palliative Care Nursing;SIE
Pediatric Nurse/Nursing;SIE
Perioperative/Operating Room and Surgical Nurse/Nursing;SIE
Physical Therapy/Therapist;SIE
Psychiatric/Mental Health Nurse/Nursing;SIE
Public Health;SIE
Public Health/Community Nurse/Nursing;SIE
"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing";SIE
Registered Nursing/Registered Nurse;SIE
Social Science;SIE
Vaterinary/Animal Health Technology/Technician and Veterinary Assistant;SIE
Women's Health Nurse/Nursing;SIE
Medical Radiologic Technology/Science (Radiation Therapist);SIC
Mammography Technician/Technology;SAR
Phlebotomy Technician/Phlebotomist;SAR
Radiologic Tecchology/Science (Radiographer);SAR
Respiratory Care Therapy/Therapist;SAR
Respiratory Therapy Technician/Assistant;SAR
Athletic Training/Trainer;SAR
Chiropractic Assistant/Technician;SAR
Occupational Therapy/Therapist;SAR
"Parks, Recreation, and Leisure Studies";SAR
Physical Fitness Technician;SAR
Yoga Teacher Training/Yoga Therapy;SAR
Learning Sciences;SAR
Speech Language Pathology/Assistant;SAR
Animal Assisted Therapy;SAR
Art Therapy/Therapist;SAR
Cardiovascular Technology/Technologist;SAR
Dance Therapy/Therapist;SAR
Herbalism/Herbalist;SAR
Movement Therapy and Movement Education;SAR
Music Therapy/Therapist;SAR
Naturopathic Medicine/Naturopathy;SAR
Podiatric Medicine/Podiatry;SAR
Rehabilitation and Therapeutic Professions;SAR
Traditional Chinese Medicine and Chinese Herbology;SAR
Clinical Psychology;SAR
Counseling Psychology;SAR
Genetic Counseling/Counselor;SAR
Health/Medical Psychology;SAR
Psychoanalysis and Psychotherapy;SAR
Adult Health Nurse/Nursing;SAR
Clinical Nursig;SAR
Clinical Nutrition/Nutritionist;SAR
Dietetics/Dietitian;SAR
Emergency Room/Trauma Nursing;SAR
Family Practice Nurse/Nursing;SAR
"Food, Nutrition, and Wellness Studies";SAR
Geriatric Nurse/Nursing;SAR
Human Nutrition;SAR
Kinesiotherapy/Kinesiotherapist;SAR
Maternal/Child Health and Neonatal Nurse/Nursing;SAR
Medieval and Renaisance Studies;SAR
Nurse Anesthetist;SAR
Nurse Midwife/Nursing Midwifery;SAR
Nursing Education;SAR
Nursing Science;SAR
Palliative Care Nursing;SAR
Pediatric Nurse/Nursing;SAR
Perioperative/Operating Room and Surgical Nurse/Nursing;SAR
Physical Therapy/Therapist;SAR
Psychiatric/Mental Health Nurse/Nursing;SAR
Public Health;SAR
Public Health/Community Nurse/Nursing;SAR
"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing";SAR
Registered Nursing/Registered Nurse;SAR
Social Science;SAR
Vaterinary/Animal Health Technology/Technician and Veterinary Assistant;SAR
Women's Health Nurse/Nursing;SAR
Medical Radiologic Technology/Science (Radiation Therapist);SAR
Children and Youth Library Services;SAR
Dental Assisting/Assistant;SAR
Dental Hygiene/Hygienist;SAR
Ethics;SAR
Library and Information Service;SAR
Library Science and Administration;SAR
Marriage and Family Therapy Counseling;SAR
School Librarian/School Library Media Specialist;SAR
Speech Language Pathology/Pathologist;SAR
Art Teacher Education;SAR
Bilingual and Multilingual Education;SAR
Chemistry Teacher Education;SAR
Child Care;SAR
Clinical Pastoral Counseling/Patient Counseling;SAR
Divinity/Ministry;SAR
Junior High/Intermediate/Middle School Education and Teaching;SAR
Mental Health Counseling/Counselor;SAR
Pastoral Studies/Counseling;SAR
Rabbinical Studies;SAR
Secondary Education and Teaching;SAR
Speech Teacher Edication;SAR
Teaching English as a Second or Foreign Language/ESL Language Instructor;SAR
Theological ad Ministerial Studies;SAR
Theology/Theological Studies;SAR
Urban Miistry;SAR
Youth Ministry;SAR
Licensed Practical/Vocational Nurse Training;SAR
"Practical Nursing, Vocational Nursing, and Nursing Assistant";SAR
Adult Literacy Tuto/Instructor;SAR
"Bilingual, Multilingual, and Multicultural Education";SAR
Corrections and Criminal Justice;SAR
Criminal Justice/Piolice Science;SAR
Culinary Science/Culinology;SAR
Education;SAR
Hair Styling/Stylist and Hair Design;SAR
Health Aide;SAR
Home Health Aide/Home Attendant;SAR
Hospital and Health Care Facilities Administration/Management;SAR
Juvenile Corrections;SAR
Law Enforcement Investigation and Interviewing;SAR
Long Term Care Administration Management;SAR
Multicultural Education;SAR
Nursing Assistant/Aide ad Patient Care Assistant/Aide;SAR
Physical Education Teaching and Coaching;SAR
Restaurant/Food Services Management;SAR
Sports Studies;SAR
American history;SAR
Ancient Studies/Civilization;SAR
"Area Studies (e.g., German, Japanese, or Latin American)";SAR
Asian History;SAR
Canadian History;SAR
"Clinical, Counseling, and Applied Psychology";SAR
Community Health Services/Liaison/Counseling;SAR
Community Psychology;SAR
Corrections Administration;SAR
Credit Management;SAR
Critical Care Nursing;SAR
Cultural Studies/Critical Theory and Analysis;SAR
Dietetic Techician/Assistant;SAR
"Ethnic, Cultural Minority, Gender, and Group Studies";SAR
European History;SAR
Health Policy analysis;SAR
History;SAR
History and Philosophy of Science and Technology;SAR
Humanities/Humanistic Studies;SAR
Intercultural/Multicultural and Diversity Studies;SAR
International/Global Studies;SAR
Lactation Consultant;SAR
Law Enforcement Intelligence Analysis;SAR
Legal Studies;SAR
Liberal Arts and Sciences/Liberal Studies;SAR
Military History;SAR
Nursing Administration;SAR
Nursing Practice;SAR
Occupational and Environmental Health Nursing;SAR
Philosophy and Religious Studies;SAR
Political Economy;SAR
Political Science and Government;SAR
Religion/Religious Studies;SAR
Secondary School Administration/Principalship;SAR
Social Psychology;SAR
Superintendency and Educational System Sdministration;SAR
Sustainability Studies ;SAR
Talmudic Studies;SAR
Bible/Biblical Studies;SAR
Clinical/Medical Social Work;SAR
Cosmetology/Cosmetologist;SAR
Human Development and Family Studies;SAR
Agricultural and Extension Education Services;SAR
Bartending/Bartender;SAR
Child Development;SAR
Community Organization and Advocacy;SAR
Consumer Ecomonics;SAR
Consumer Services and Advocay;SAR
Counselor Education/School Counseling and Guidance Services;SAR
Developmental Services Worker;SAR
Early Childhood Education and Teaching;SAR
Family and Community Services;SAR
Family and Consumer Economics;SAR
Family Resource Management Studies;SAR
Family Systems;SAR
Health and Wellness;SAR
Home Furnishings and Equipment Installers;SAR
Housing and Human Environments;SAR
Human Resources Development;SAR
Human Services;SAR
Hypnotherapy/Hypnotherapist;SAR
Indian/Native American Education;SAR
Kindergarten/Preschool Education and Teaching;SAR
Montessori Teacher Education;SAR
Rehabilitation Science;SAR
Social Work;SAR
Spcial Education and Teaching;SAR
Student Counseling and Personnel Services;SAR
Therapeutic Recreation/Recreational Therapy;SAR
Vocationa Rehabilitation Counseling/Counselor;SAR
Waidorf/Steiner Teacher Education;SAR
Youth Services/Administration;SAR
Anesthesiologist Assistant;SAR
Medical Administrative/Executive Assistant and Medical Secretary;SAR
Medical/Clinical Assistant;SAR
Physical Therapy Techician/Assistant;SAR
Optometric Technician/Assistant;SAR
Air Traffic Controller;SAR
Deaf Studies;SAR
Human Resources Management and Services;SAR
Linguistics of ASL and Other Sign Languages;SAR
Occupational Therapist Assistant;SAR
Psychiatric/Mental Health Services Technician;SAR
Sign Language Interpretation and Translation;SAR
Teacher Assistant/Aide;SAR
Children and Youth Library Services;SAI
Dental Assisting/Assistant;SAI
Dental Hygiene/Hygienist;SAI
Ethics;SAI
Library and Information Service;SAI
Library Science and Administration;SAI
Marriage and Family Therapy Counseling;SAI
School Librarian/School Library Media Specialist;SAI
Speech Language Pathology/Pathologist;SAI
Art Teacher Education;SAE
Bilingual and Multilingual Education;SAE
Chemistry Teacher Education;SAE
Child Care;SAE
Clinical Pastoral Counseling/Patient Counseling;SAE
Divinity/Ministry;SAE
Junior High/Intermediate/Middle School Education and Teaching;SAE
Mental Health Counseling/Counselor;SAE
Pastoral Studies/Counseling;SAE
Rabbinical Studies;SAE
Secondary Education and Teaching;SAE
Speech Teacher Edication;SAE
Teaching English as a Second or Foreign Language/ESL Language Instructor;SAE
Theological ad Ministerial Studies;SAE
Theology/Theological Studies;SAE
Urban Miistry;SAE
Youth Ministry;SAE
Licensed Practical/Vocational Nurse Training;SAC
"Practical Nursing, Vocational Nursing, and Nursing Assistant";SAC
Adult Literacy Tuto/Instructor;SER
"Bilingual, Multilingual, and Multicultural Education";SER
Corrections and Criminal Justice;SER
Criminal Justice/Piolice Science;SER
Culinary Science/Culinology;SER
Education;SER
Hair Styling/Stylist and Hair Design;SER
Health Aide;SER
Home Health Aide/Home Attendant;SER
Hospital and Health Care Facilities Administration/Management;SER
Juvenile Corrections;SER
Law Enforcement Investigation and Interviewing;SER
Long Term Care Administration Management;SER
Multicultural Education;SER
Nursing Assistant/Aide ad Patient Care Assistant/Aide;SER
Physical Education Teaching and Coaching;SER
Restaurant/Food Services Management;SER
Sports Studies;SER
American history;SEI
Ancient Studies/Civilization;SEI
"Area Studies (e.g., German, Japanese, or Latin American)";SEI
Asian History;SEI
Canadian History;SEI
"Clinical, Counseling, and Applied Psychology";SEI
Community Health Services/Liaison/Counseling;SEI
Community Psychology;SEI
Corrections Administration;SEI
Credit Management;SEI
Critical Care Nursing;SEI
Cultural Studies/Critical Theory and Analysis;SEI
Dietetic Techician/Assistant;SEI
"Ethnic, Cultural Minority, Gender, and Group Studies";SEI
European History;SEI
Health Policy analysis;SEI
History;SEI
History and Philosophy of Science and Technology;SEI
Humanities/Humanistic Studies;SEI
Intercultural/Multicultural and Diversity Studies;SEI
International/Global Studies;SEI
Lactation Consultant;SEI
Law Enforcement Intelligence Analysis;SEI
Legal Studies;SEI
Liberal Arts and Sciences/Liberal Studies;SEI
Military History;SEI
Nursing Administration;SEI
Nursing Practice;SEI
Occupational and Environmental Health Nursing;SEI
Philosophy and Religious Studies;SEI
Political Economy;SEI
Political Science and Government;SEI
Religion/Religious Studies;SEI
Secondary School Administration/Principalship;SEI
Social Psychology;SEI
Superintendency and Educational System Sdministration;SEI
Sustainability Studies ;SEI
Talmudic Studies;SEI
Bible/Biblical Studies;SEA
Clinical/Medical Social Work;SEA
Cosmetology/Cosmetologist;SEA
Human Development and Family Studies;SEA
Agricultural and Extension Education Services;SEC
Bartending/Bartender;SEC
Child Development;SEC
Community Organization and Advocacy;SEC
Consumer Ecomonics;SEC
Consumer Services and Advocay;SEC
Counselor Education/School Counseling and Guidance Services;SEC
Developmental Services Worker;SEC
Early Childhood Education and Teaching;SEC
Family and Community Services;SEC
Family and Consumer Economics;SEC
Family Resource Management Studies;SEC
Family Systems;SEC
Health and Wellness;SEC
Home Furnishings and Equipment Installers;SEC
Housing and Human Environments;SEC
Human Resources Development;SEC
Human Services;SEC
Hypnotherapy/Hypnotherapist;SEC
Indian/Native American Education;SEC
Kindergarten/Preschool Education and Teaching;SEC
Montessori Teacher Education;SEC
Rehabilitation Science;SEC
Social Work;SEC
Spcial Education and Teaching;SEC
Student Counseling and Personnel Services;SEC
Therapeutic Recreation/Recreational Therapy;SEC
Vocationa Rehabilitation Counseling/Counselor;SEC
Waidorf/Steiner Teacher Education;SEC
Youth Services/Administration;SEC
Anesthesiologist Assistant;SCR
Medical Administrative/Executive Assistant and Medical Secretary;SCR
Medical/Clinical Assistant;SCR
Physical Therapy Techician/Assistant;SCR
Optometric Technician/Assistant;SCI
Mammography Technician/Technology;SCA
Phlebotomy Technician/Phlebotomist;SCA
Radiologic Tecchology/Science (Radiographer);SCA
Respiratory Care Therapy/Therapist;SCA
Respiratory Therapy Technician/Assistant;SCA
Athletic Training/Trainer;SCA
Chiropractic Assistant/Technician;SCA
Occupational Therapy/Therapist;SCA
"Parks, Recreation, and Leisure Studies";SCA
Physical Fitness Technician;SCA
Yoga Teacher Training/Yoga Therapy;SCA
Learning Sciences;SCA
Speech Language Pathology/Assistant;SCA
Animal Assisted Therapy;SCA
Art Therapy/Therapist;SCA
Cardiovascular Technology/Technologist;SCA
Dance Therapy/Therapist;SCA
Herbalism/Herbalist;SCA
Movement Therapy and Movement Education;SCA
Music Therapy/Therapist;SCA
Naturopathic Medicine/Naturopathy;SCA
Podiatric Medicine/Podiatry;SCA
Rehabilitation and Therapeutic Professions;SCA
Traditional Chinese Medicine and Chinese Herbology;SCA
Clinical Psychology;SCA
Counseling Psychology;SCA
Genetic Counseling/Counselor;SCA
Health/Medical Psychology;SCA
Psychoanalysis and Psychotherapy;SCA
Adult Health Nurse/Nursing;SCA
Clinical Nursig;SCA
Clinical Nutrition/Nutritionist;SCA
Dietetics/Dietitian;SCA
Emergency Room/Trauma Nursing;SCA
Family Practice Nurse/Nursing;SCA
"Food, Nutrition, and Wellness Studies";SCA
Geriatric Nurse/Nursing;SCA
Human Nutrition;SCA
Kinesiotherapy/Kinesiotherapist;SCA
Maternal/Child Health and Neonatal Nurse/Nursing;SCA
Medieval and Renaisance Studies;SCA
Nurse Anesthetist;SCA
Nurse Midwife/Nursing Midwifery;SCA
Nursing Education;SCA
Nursing Science;SCA
Palliative Care Nursing;SCA
Pediatric Nurse/Nursing;SCA
Perioperative/Operating Room and Surgical Nurse/Nursing;SCA
Physical Therapy/Therapist;SCA
Psychiatric/Mental Health Nurse/Nursing;SCA
Public Health;SCA
Public Health/Community Nurse/Nursing;SCA
"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing";SCA
Registered Nursing/Registered Nurse;SCA
Social Science;SCA
Vaterinary/Animal Health Technology/Technician and Veterinary Assistant;SCA
Women's Health Nurse/Nursing;SCA
Medical Radiologic Technology/Science (Radiation Therapist);SCA
Children and Youth Library Services;SCA
Dental Assisting/Assistant;SCA
Dental Hygiene/Hygienist;SCA
Ethics;SCA
Library and Information Service;SCA
Library Science and Administration;SCA
Marriage and Family Therapy Counseling;SCA
School Librarian/School Library Media Specialist;SCA
Speech Language Pathology/Pathologist;SCA
Art Teacher Education;SCA
Bilingual and Multilingual Education;SCA
Chemistry Teacher Education;SCA
Child Care;SCA
Clinical Pastoral Counseling/Patient Counseling;SCA
Divinity/Ministry;SCA
Junior High/Intermediate/Middle School Education and Teaching;SCA
Mental Health Counseling/Counselor;SCA
Pastoral Studies/Counseling;SCA
Rabbinical Studies;SCA
Secondary Education and Teaching;SCA
Speech Teacher Edication;SCA
Teaching English as a Second or Foreign Language/ESL Language Instructor;SCA
Theological ad Ministerial Studies;SCA
Theology/Theological Studies;SCA
Urban Miistry;SCA
Youth Ministry;SCA
Licensed Practical/Vocational Nurse Training;SCA
"Practical Nursing, Vocational Nursing, and Nursing Assistant";SCA
Adult Literacy Tuto/Instructor;SCA
"Bilingual, Multilingual, and Multicultural Education";SCA
Corrections and Criminal Justice;SCA
Criminal Justice/Piolice Science;SCA
Culinary Science/Culinology;SCA
Education;SCA
Hair Styling/Stylist and Hair Design;SCA
Health Aide;SCA
Home Health Aide/Home Attendant;SCA
Hospital and Health Care Facilities Administration/Management;SCA
Juvenile Corrections;SCA
Law Enforcement Investigation and Interviewing;SCA
Long Term Care Administration Management;SCA
Multicultural Education;SCA
Nursing Assistant/Aide ad Patient Care Assistant/Aide;SCA
Physical Education Teaching and Coaching;SCA
Restaurant/Food Services Management;SCA
Sports Studies;SCA
American history;SCA
Ancient Studies/Civilization;SCA
"Area Studies (e.g., German, Japanese, or Latin American)";SCA
Asian History;SCA
Canadian History;SCA
"Clinical, Counseling, and Applied Psychology";SCA
Community Health Services/Liaison/Counseling;SCA
Community Psychology;SCA
Corrections Administration;SCA
Credit Management;SCA
Critical Care Nursing;SCA
Cultural Studies/Critical Theory and Analysis;SCA
Dietetic Techician/Assistant;SCA
"Ethnic, Cultural Minority, Gender, and Group Studies";SCA
European History;SCA
Health Policy analysis;SCA
History;SCA
History and Philosophy of Science and Technology;SCA
Humanities/Humanistic Studies;SCA
Intercultural/Multicultural and Diversity Studies;SCA
International/Global Studies;SCA
Lactation Consultant;SCA
Law Enforcement Intelligence Analysis;SCA
Legal Studies;SCA
Liberal Arts and Sciences/Liberal Studies;SCA
Military History;SCA
Nursing Administration;SCA
Nursing Practice;SCA
Occupational and Environmental Health Nursing;SCA
Philosophy and Religious Studies;SCA
Political Economy;SCA
Political Science and Government;SCA
Religion/Religious Studies;SCA
Secondary School Administration/Principalship;SCA
Social Psychology;SCA
Superintendency and Educational System Sdministration;SCA
Sustainability Studies ;SCA
Talmudic Studies;SCA
Bible/Biblical Studies;SCA
Clinical/Medical Social Work;SCA
Cosmetology/Cosmetologist;SCA
Human Development and Family Studies;SCA
Agricultural and Extension Education Services;SCA
Bartending/Bartender;SCA
Child Development;SCA
Community Organization and Advocacy;SCA
Consumer Ecomonics;SCA
Consumer Services and Advocay;SCA
Counselor Education/School Counseling and Guidance Services;SCA
Developmental Services Worker;SCA
Early Childhood Education and Teaching;SCA
Family and Community Services;SCA
Family and Consumer Economics;SCA
Family Resource Management Studies;SCA
Family Systems;SCA
Health and Wellness;SCA
Home Furnishings and Equipment Installers;SCA
Housing and Human Environments;SCA
Human Resources Development;SCA
Human Services;SCA
Hypnotherapy/Hypnotherapist;SCA
Indian/Native American Education;SCA
Kindergarten/Preschool Education and Teaching;SCA
Montessori Teacher Education;SCA
Rehabilitation Science;SCA
Social Work;SCA
Spcial Education and Teaching;SCA
Student Counseling and Personnel Services;SCA
Therapeutic Recreation/Recreational Therapy;SCA
Vocationa Rehabilitation Counseling/Counselor;SCA
Waidorf/Steiner Teacher Education;SCA
Youth Services/Administration;SCA
Anesthesiologist Assistant;SCA
Medical Administrative/Executive Assistant and Medical Secretary;SCA
Medical/Clinical Assistant;SCA
Physical Therapy Techician/Assistant;SCA
Optometric Technician/Assistant;SCA
Air Traffic Controller;SCA
Deaf Studies;SCA
Human Resources Management and Services;SCA
Linguistics of ASL and Other Sign Languages;SCA
Occupational Therapist Assistant;SCA
Psychiatric/Mental Health Services Technician;SCA
Sign Language Interpretation and Translation;SCA
Teacher Assistant/Aide;SCA
Air Traffic Controller;SCE
Deaf Studies;SCE
Human Resources Management and Services;SCE
Linguistics of ASL and Other Sign Languages;SCE
Occupational Therapist Assistant;SCE
Psychiatric/Mental Health Services Technician;SCE
Sign Language Interpretation and Translation;SCE
Teacher Assistant/Aide;SCE
Aeronautics/Aviation/Aerospace Science and Technology;ERI
Cyber/Electronic Operations and Warfare;ERI
Information Operations/Joint Information Operations;ERI
Information/Psychological Warfare and Military Media Relations;ERI
"Intelligence, Command Sontrol and Information Operations";ERI
Joint Command/Task Force Systems;ERI
Military Information Systems Technology;ERI
Research and Developmental Management;ERI
Agricultural and Food Products Processing;ERS
Agricultural Production Oprerations;ERS
Building/Construction Site Management/Manager;ERS
Construction Maagement;ERS
Construction Trades;ERS
Crop Production;ERS
Drywall Installation/Drywaller;ERS
Electrician;ERS
Farm and Ranch Management;ERS
Fire Services Administration;ERS
Insulator;ERS
"Restaurant, Culinary, and Catering Management/Manager";ERS
Well Drilling/Driller;ERS
Advances Military and Operational Studies;ERC
Combat Systems Engineering;ERC
Dairy Husbandry and Production;ERC
Explosive Ordinance/Bomb Disposal;ERC
Industrial Safety Technology/Technician;ERC
Joint Operations Planning and Strategy;ERC
Livestock Management;ERC
Military and Strategic Leadership;ERC
Military Operational Art and Science/Studies;ERC
Military Science and Operational Studies;ERC
"Nava, Science and Operational Studies";ERC
"Special, Irregular, and Counterterrorist Operations";ERC
School Administration/Principalship;EIR
Aeronautics/Aviation/Aerospace Science and Technology;EIA
Cyber/Electronic Operations and Warfare;EIA
Information Operations/Joint Information Operations;EIA
Information/Psychological Warfare and Military Media Relations;EIA
"Intelligence, Command Sontrol and Information Operations";EIA
Joint Command/Task Force Systems;EIA
Military Information Systems Technology;EIA
Research and Developmental Management;EIA
Agricultural and Food Products Processing;EIA
Agricultural Production Oprerations;EIA
Building/Construction Site Management/Manager;EIA
Construction Maagement;EIA
Construction Trades;EIA
Crop Production;EIA
Drywall Installation/Drywaller;EIA
Electrician;EIA
Farm and Ranch Management;EIA
Fire Services Administration;EIA
Insulator;EIA
"Restaurant, Culinary, and Catering Management/Manager";EIA
Well Drilling/Driller;EIA
Advances Military and Operational Studies;EIA
Combat Systems Engineering;EIA
Dairy Husbandry and Production;EIA
Explosive Ordinance/Bomb Disposal;EIA
Industrial Safety Technology/Technician;EIA
Joint Operations Planning and Strategy;EIA
Livestock Management;EIA
Military and Strategic Leadership;EIA
Military Operational Art and Science/Studies;EIA
Military Science and Operational Studies;EIA
"Nava, Science and Operational Studies";EIA
"Special, Irregular, and Counterterrorist Operations";EIA
School Admiistration/Principalship;EIA
Agricultural/Farm Supplies Retailing and Wholesaling;EIA
American Government and Politics;EIA
Applied Economics;EIA
Comparative Psychology;EIA
Curriculum and Instruction;EIA
Digital Communication and Media/Multimedia;EIA
Educational/Instructional Technology;EIA
Finance and Financial Management Services;EIA
International Finance;EIA
Public Finance;EIA
Public Policy Analysis;EIA
Telecommunications Management;EIA
Urban Studies/Affairs;EIA
Agricultural Economics;EIA
Information Technology Project Management;EIA
Marketing;EIA
Auctioneering;EIA
Administration of Special Education;EIA
"Art History, Criticism, and Conservation";EIA
Aviation/Airway Management and Operartions;EIA
Barbering/Barber;EIA
Business Administration and Management;EIA
Business/Commerce;EIA
"Cosmetology, Barber/Styling, and Nail Instructor";EIA
E-Commerce/Electronic Commerce;EIA
Educational Administration and Supervision;EIA
Enterpreneurship/Enterpreneurial Studies;EIA
Finance and Financial Management Services;EIA
Fire Prevention and Safety Technology/Technician;EIA
Food Service Systems Administration/Management;EIA
"Food Service, Waiter/Waitress, and Dining Room Management/Manager";EIA
Funeral Direction/Service;EIA
Funeral Service and Mortuary Science;EIA
Higher Education/Higher Education Administration;EIA
Hospitality Administration/Management;EIA
Hospitality and Recreation Marketing Operations;EIA
"Hotel, Motel and Restaurant Management";EIA
Human Resources Management/Personnel Administration;EIA
Internasional Business/Trade/Commerce;EIA
International Marketing;EIA
Labor and Industrial Relations;EIA
"Logistics,Materials, and Supply Chain Management";EIA
Management Science;EIA
Marketing Research;EIA
Marketing/Marketing Management;EIA
Medical/Health Management and Clinical Assistant/Specialist;EIA
Natural Resources Law Enforcement and Protective Services;EIA
Office Management and Supervision;EIA
Operations Management and Supervision;EIA
Organizational Behavior Studies;EIA
Organizational Leadership;EIA
"Parks, Recreation, and Leisure Facilities Management";EIA
Pharmaceutical Marketing and Management;EIA
Public Administration;EIA
"Purchasing, Procurement/Acquisitions, and Contracts Management";EIA
Resort Management;EIA
Retail Management;EIA
Retailing ad Retail Operations;EIA
"Sales, Distribution, and Marketing Operations";EIA
Selling Skills and Sales Operations;EIA
Sport and Fitness Administration/Management;EIA
Transportation/Mobility Management;EIA
Urban Education and Leadership;EIA
Vehicle and Vehicle Parts and Accessories Marketing Operations;EIA
Wildland/Forest Firefighting and Investigation;EIA
Wine Steward/Sommelier;EIA
Advanced Legal Research/Studies;EIA
American/U.S Law/Legal Studies/Jurisprudence;EIA
"Banking, Corporate, Finance, and Security Law";EIA
Canadian Law/Legal Studies/Jurisprudence;EIA
Comparative Law;EIA
"Energy, Environment, and Natural Resources Law";EIA
Health Law;EIA
Intellectual Property Law;EIA
